OK,21738,20745,20235,19779,19092,18496,17893,17220,16362,15928,15645,15065,14539,14112,13757,13172,12994,12642,12343,11948,11510,11028,10733,10515,10037,9706,9354,8904,8645,8417,8231,8073,7848,7626,7480,7363,7205,7150,7003,6907,6907,6805,6692,6573,6506,6418,6338,6270,6229,6137,6090,6037,5960,5849,5680,5532,5489,5398,5310,5237,5086,4962,4852,4732,4613,4589,4490,4424,4330,4201,4127,4044,3972,3851,3748,3618,3473,3410,3280,3253,3193,3121,3017,2894,2807,2680,2599,2570,2465,2357
OR,12805,12438,12170,11851,11454,11188,10817,10605,10395,10230,9930,9636,9294,8931,8656,8485,8341,8094,7818,7568,7444,7274,7083,6937,6750,6572,6366,6218,6098,5820,5636,5535,5377,5237,5060,4988,4922,4808,4662,4570,4474,4399,4335,4302,4243,4185,4131,4086,4038,3967,3949,3927,3888,3864,3817,3801,3726,3687,3623,3612,3541,3479,3416,3286,3286,3228,3160,3068,2989,2916,2839,2759,2680,2635,2579,2510,2446,2354,2354,2311,2253,2177,2127,2059,2002,1956,1910,1844,1785,1736
PA,96671,95742,95266,94689,93876,92867,92148,91299,90304,89854,89375,88741,88074,87242,86606,85988,85496,84370,84370,83770,83191,82696,82186,81730,81266,80762,80236,79818,79483,79121,78798,78462,77999,77933,77466,77056,76563,76212,75706,75005,74560,74022,73510,72898,72546,72031,71339,70042,69417,68637,68186,67713,66983,66258,65392,63666,63666,63056,62234,61611,60622,59636,58698,57991,57154,56611,55316,54238,52915,51845,50957,50092,49267,48305,46971,45763,44366,43264,42050,41165,40049,38652,37053,35684,34528,33232,32284,31069,29441,27735
PR,10123,10010,9654,9366,9137,8862,8745,8714,8585,7916,7787,7683,7608,7537,7465,7250,7189,7066,6922,6877,6820,6685,6564,6525,6463,6195,6111,6003,5951,5890,5811,5690,5536,5352,5329,5185,5046,4985,4915,4620,4508,4023,3935,3873,3776,3718,3647,3486,3397,3324,3260,3189,3100,3030,2913,2866,2805,2710,2646,2589,2542,2427,2329,2299,2256,2198,2173,2156,2031,1968,1924,1843,1808,1757,1575,1539,1433,1400,1389,1371,1307,1276,915,915,1298,1252,1213,1118,1068,1043
RI,17588,17487,17312,17312,17312,17243,17204,17204,17163,17108,17084,17057,17035,16976,16911,16871,16835,16813,16777,16708,16663,16612,16535,16476,16449,16413,16354,16283,16232,16180,16104,16072,16023,15942,15855,15751,15683,15638,15589,15521,15416,15299,15194,15087,14988,14912,14808,14630,14498,14365,14211,14141,14057,13949,13748,13579,13392,13177,13040,12915,12663,12431,12203,12007,11788,11613,11427,11141,10910,10639,10297,9994,9703,9522,9333,9016,8668,8296,7972,7769,7493,7188,6773,6354,5972,5585,5207,4868,4585,4295
SC,60389,58168,56648,54699,52419,50691,48909,47352,46380,44847,43386,41532,39701,37919,36399,34644,33320,31939,30335,29022,27897,26613,25701,24693,23786,22631,21548,20556,19990,19378,18795,17955,17170,16441,15759,15228,14800,14286,13916,13453,13005,12651,12415,12148,11861,11394,11131,10788,10623,10416,10178,10096,9895,9638,9175,9056,9056,8942,8816,8407,8407,8189,7927,7927,7653,7653,7531,7142,6936,6936,6757,6626,6626,6489,6258,6095,5881,5613,5490,5490,5253,4917,4917,4761,4439,4377,4377,4246,3931,3656
SD,7572,7524,7499,7454,7401,7336,7242,7163,7105,7063,7028,6978,6893,6826,6764,6716,6681,6626,6535,6479,6419,6353,6326,6297,6225,6158,6109,6050,5966,5928,5898,5833,5742,5665,5604,5523,5471,5438,5367,5277,5247,5162,5067,5034,4993,4960,4866,4793,4710,4653,4586,4563,4468,4356,4250,4177,4085,4027,3987,3959,3887,3792,3732,3663,3614,3517,3393,3144,2905,2779,2721,2668,2631,2588,2525,2449,2373,2313,2245,2212,2147,2040,1956,1858,1755,1685,1635,1542,1411,1311
TN,66788,65274,61960,61006,59546,57591,55986,53514,52155,51431,50140,48712,46890,45315,43509,42297,40172,40172,39444,38034,37235,36303,35553,35102,34446,34017,32829,32143,31830,31160,30432,29541,29126,28538,28061,27575,26944,26381,26071,25520,25120,24822,24375,23554,23006,22566,22085,21679,21306,20965,20607,20145,19789,19394,18961,18532,18378,18011,17388,17288,16970,16699,16370,16111,15544,14985,14768,14441,14096,13938,13690,13571,13177,12661,11891,10735,10366,10052,9918,9667,9189,8726,8266,7842,7394,7238,7070,6762,6589,6262
TX,275058,264313,258658,250462,240111,230346,220564,210585,200557,195239,191790,183532,175977,168062,159986,153011,148728,143371,137624,131917,125921,120370,114881,111601,107735,103305,99851,96335,93206,89108,87854,86011,83680,81583,79757,77253,75616,74978,73553,71613,69920,68271,66568,64880,64287,62338,61006,59776,57921,56560,55971,55348,54509,53449,52268,51323,49912,48693,47784,46999,45198,43851,42403,41048,39869,38869,37860,36609,35390,34422,33369,32332,31548,30522,29229,28087,27054,26171,25297,24631,23773,22806,21944,21069,20196,19458,18923,18260,17371,16455
UT,30478,30030,29484,28855,28223,27356,26755,26033,25469,24952,24542,23866,23270,22716,22217,21664,21100,20628,20050,19374,18784,18300,17906,17462,17068,16425,15839,15344,14937,14608,14313,13981,13577,13252,12864,12559,12322,12066,11798,11252,10813,10497,10202,9999,9797,9533,9264,8921,8706,8620,8521,8392,8260,8057,7874,7710,7518,7384,7238,7068,6913,6749,6620,6432,6362,6251,6103,5919,5724,5595,5449,5317,5175,4981,4828,4672,4495,4343,4233,4123,3948,3782,3612,3445,3296,3213,3069,2931,2805,2683
VA,72443,71642,70670,69782,68931,67988,67375,66740,66102,65748,65109,64393,63735,63203,62787,62189,61736,61247,60570,59946,59514,58994,58465,57994,57443,56793,56238,55775,55331,54886,54506,53869,53211,52647,52177,51738,51251,50681,49397,48532,47856,46905,46239,45398,44607,43611,42533,41401,40249,39342,37727,36244,35749,34950,34137,32908,32145,31140,30388,29683,28672,27813,26746,25800,25070,24081,23196,22342,21570,20256,20256,19492,18671,17731,16901,15846,14961,14339,13535,12970,12366,11594,10998,10266,9630,8990,8537,8053,7491,6889
VI,206,206,181,167,153,144,122,116,112,111,111,98,92,90,84,81,81,81,81,80,78,76,76,76,74,74,73,73,73,73,72,72,72,72,72,71,71,71,71,71,71,70,70,70,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,68,66,66,66,66,66,66,66,66,62,59,59,57,55,54,54,54,54,53,53,53,51,51
VT,1305,1301,1296,1283,1277,1272,1256,1254,1251,1249,1238,1236,1227,1210,1208,1208,1202,1200,1198,1191,1184,1164,1163,1159,1147,1144,1135,1130,1131,1128,1127,1125,1119,1110,1095,1084,1075,1063,1046,1027,1026,990,988,983,981,977,975,974,971,967,962,956,954,952,950,944,944,944,940,940,932,931,930,929,927,926,926,918,916,914,909,906,901,896,885,879,866,862,862,855,852,843,834,831,828,820,817,813,802,792
